Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
11,FRS11,467.637500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,FRS-only interstitial channel 11; not authorized for GMRS transmit; https://www.ecfr.gov/current/title-47/chapter-I/subchapter-D/part-95,,,,
12,FRS12,467.662500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,FRS-only interstitial channel 12; not authorized for GMRS transmit; https://www.ecfr.gov/current/title-47/chapter-I/subchapter-D/part-95,,,,
13,FRS13,467.687500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,FRS-only interstitial channel 13; not authorized for GMRS transmit; https://www.ecfr.gov/current/title-47/chapter-I/subchapter-D/part-95,,,,
14,FRS14,467.712500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,FRS-only interstitial channel 14; not authorized for GMRS transmit; https://www.ecfr.gov/current/title-47/chapter-I/subchapter-D/part-95,,,,
15,GMRS15,462.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"GMRS main channel 15, licence required; https://www.ecfr.gov/current/title-47/chapter-I/subchapter-D/part-95",,,,
16,GMRS16,462.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"GMRS main channel 16, licence required; https://www.ecfr.gov/current/title-47/chapter-I/subchapter-D/part-95",,,,
17,GMRS17,462.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"GMRS main channel 17, licence required; https://www.ecfr.gov/current/title-47/chapter-I/subchapter-D/part-95",,,,
18,GMRS18,462.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"GMRS main channel 18, licence required; https://www.ecfr.gov/current/title-47/chapter-I/subchapter-D/part-95",,,,
19,GMRS19,462.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"GMRS main channel 19, licence required; https://www.ecfr.gov/current/title-47/chapter-I/subchapter-D/part-95",,,,
20,GMRS20,462.675000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"GMRS main channel 20, licence required; https://www.ecfr.gov/current/title-47/chapter-I/subchapter-D/part-95",,,,
21,GMRS21,462.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"GMRS main channel 21, licence required; https://www.ecfr.gov/current/title-47/chapter-I/subchapter-D/part-95",,,,
22,GMRS22,462.725000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"GMRS main channel 22, licence required; https://www.ecfr.gov/current/title-47/chapter-I/subchapter-D/part-95",,,,
23,GMRRPT15,462.550000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"GMRS repeater channel 15, input 467.5500; no repeater is publicly published in Clallam County, so no access tone is set; https://www.ecfr.gov/current/title-47/chapter-I/subchapter-D/part-95",,,,
24,GMRRPT16,462.575000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"GMRS repeater channel 16, input 467.5750; no repeater is publicly published in Clallam County, so no access tone is set; https://www.ecfr.gov/current/title-47/chapter-I/subchapter-D/part-95",,,,
25,GMRRPT17,462.600000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"GMRS repeater channel 17, input 467.6000; no repeater is publicly published in Clallam County, so no access tone is set; https://www.ecfr.gov/current/title-47/chapter-I/subchapter-D/part-95",,,,
26,GMRRPT18,462.625000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"GMRS repeater channel 18, input 467.6250; no repeater is publicly published in Clallam County, so no access tone is set; https://www.ecfr.gov/current/title-47/chapter-I/subchapter-D/part-95",,,,
27,GMRRPT19,462.650000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"GMRS repeater channel 19, input 467.6500; no repeater is publicly published in Clallam County, so no access tone is set; https://www.ecfr.gov/current/title-47/chapter-I/subchapter-D/part-95",,,,
28,GMRRPT20,462.675000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"GMRS repeater channel 20, input 467.6750; no repeater is publicly published in Clallam County, so no access tone is set; https://www.ecfr.gov/current/title-47/chapter-I/subchapter-D/part-95",,,,
29,GMRRPT21,462.700000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"GMRS repeater channel 21, input 467.7000; no repeater is publicly published in Clallam County, so no access tone is set; https://www.ecfr.gov/current/title-47/chapter-I/subchapter-D/part-95",,,,
30,GMRRPT22,462.725000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"GMRS repeater channel 22, input 467.7250; no repeater is publicly published in Clallam County, so no access tone is set; https://www.ecfr.gov/current/title-47/chapter-I/subchapter-D/part-95",,,,
31,MURS1,151.820000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,"Multi-Use Radio Service channel 1, no licence required; https://www.ecfr.gov/current/title-47/chapter-I/subchapter-D/part-95",,,,
32,MURS2,151.880000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,"Multi-Use Radio Service channel 2, no licence required; https://www.ecfr.gov/current/title-47/chapter-I/subchapter-D/part-95",,,,
33,MURS3,151.940000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,"Multi-Use Radio Service channel 3, no licence required; https://www.ecfr.gov/current/title-47/chapter-I/subchapter-D/part-95",,,,
34,MURS4,154.570000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.0W,"Multi-Use Radio Service channel 4, no licence required; https://www.ecfr.gov/current/title-47/chapter-I/subchapter-D/part-95",,,,
35,MURS5,154.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.0W,"Multi-Use Radio Service channel 5, no licence required; https://www.ecfr.gov/current/title-47/chapter-I/subchapter-D/part-95",,,,
36,2MCLLNG,146.520000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,National 2 m FM simplex calling channel,,,,
37,125MCLLN,223.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,National 1.25 m FM simplex calling channel,,,,
38,70CMCLLN,446.000000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,National 70 cm FM simplex calling channel,,,,
39,NCSTSMPL,147.420000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"Clallam County AUXCOMM 2 m simplex, north coast; https://mil.wa.gov/asset/6a1eeab054e7c/Washington-Field-Operations-Guide_FOG_1.10.pdf",,,,
40,FRKSSMPL,147.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"Clallam County AUXCOMM 2 m simplex, Forks; https://mil.wa.gov/asset/6a1eeab054e7c/Washington-Field-Operations-Guide_FOG_1.10.pdf",,,,
41,OPCNTRLS,147.520000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"Clallam County AUXCOMM 2 m simplex, operational area central; https://mil.wa.gov/asset/6a1eeab054e7c/Washington-Field-Operations-Guide_FOG_1.10.pdf",,,,
42,JYCSMPLX,147.540000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"Clallam County AUXCOMM 2 m simplex, Joyce; https://mil.wa.gov/asset/6a1eeab054e7c/Washington-Field-Operations-Guide_FOG_1.10.pdf",,,,
43,NCSTUHFS,439.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"Clallam County AUXCOMM 70 cm simplex, north coast; https://mil.wa.gov/asset/6a1eeab054e7c/Washington-Field-Operations-Guide_FOG_1.10.pdf",,,,
44,WUHFSMPL,439.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"Clallam County AUXCOMM 70 cm simplex, west; https://mil.wa.gov/asset/6a1eeab054e7c/Washington-Field-Operations-Guide_FOG_1.10.pdf",,,,
45,GNDW7FEL,145.210000,-,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"Forks, Gunderson Mountain, W7FEL; https://mil.wa.gov/asset/6a1eeab054e7c/Washington-Field-Operations-Guide_FOG_1.10.pdf",,,,
46,CRLW7FEL,146.760000,-,0.600000,Tone,77.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Carlsborg repeater sharing the Striped Peak pair on a different tone; https://mil.wa.gov/asset/6a1eeab054e7c/Washington-Field-Operations-Guide_FOG_1.10.pdf,,,,
47,STRW7FEL,146.760000,-,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"Port Angeles, Striped Peak, W7FEL, EchoLink; https://mil.wa.gov/asset/6a1eeab054e7c/Washington-Field-Operations-Guide_FOG_1.10.pdf",,,,
48,ELLW7FEL,147.060000,+,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"Clallam Bay, Ellis Mountain, W7FEL; nearest 2 m machine to Ozette; https://mil.wa.gov/asset/6a1eeab054e7c/Washington-Field-Operations-Guide_FOG_1.10.pdf",,,,
49,MTK7PP,147.280000,+,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"Mt Octopus, Clallam County, K7PP; WWARA record 3015; https://www.wwara.org/DataBaseExtract.zip",,,,
50,220W6MPD,224.060000,-,1.600000,Tone,107.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"Port Angeles, W6MPD, 1.25 m; WWARA record 4100, coordination expired 2026-01-21; https://www.wwara.org/DataBaseExtract.zip",,,,
51,SQMK6,442.050000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,"Sequim, KO6I, narrow FM; WWARA record 5342; https://www.wwara.org/DataBaseExtract.zip",,,,
52,NOAKXI27,162.425000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"NOAA weather radio KXI27, Clearwater near Forks; https://www.weather.gov/nwr/stations?State=WA",,,,
53,NOAKIH36,162.550000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"NOAA weather radio KIH36, Bohokus Peak Neah Bay, primary at Ozette; https://www.weather.gov/nwr/stations?State=WA",,,,
54,USCGAX3,143.475000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,US Coast Guard Auxiliary nationwide simplex Yankee 3; https://www.radioreference.com/db/aid/7760,,,,
55,USCGAXWA,150.700000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,US Coast Guard Auxiliary Washington state repeater; https://www.radioreference.com/db/aid/7760,,,,
56,REDNET,153.830000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Washington fire mutual aid REDNET; https://www.radioreference.com/db/aid/2371,,,,
57,WAVSAR16,155.160000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,"Washington search and rescue common VSAR16, carrier squelch for receive; https://mil.wa.gov/asset/6a1eeab054e7c/Washington-Field-Operations-Guide_FOG_1.10.pdf",,,,
58,LERN,155.370000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Law Enforcement Radio Network; WAFOG lists Striped Peak and Ellis Mountain sites for Clallam County; https://mil.wa.gov/asset/6a1eeab054e7c/Washington-Field-Operations-Guide_FOG_1.10.pdf,,,,
59,OSCCR,156.135000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,On-scene command and coordination; https://www.radioreference.com/db/aid/2371,,,,
60,FDIPL1,167.087500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Federal law enforcement interoperability LE1/LEA; https://www.radioreference.com/db/aid/7742,,,,
61,FDIPNC1,169.537500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Federal interoperability NC1/IR5; https://www.radioreference.com/db/aid/7742,,,,
62,FDIPIR1,170.012500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Federal interoperability IR1/IR6; https://www.radioreference.com/db/aid/7742,,,,
63,FDIPIR2,170.412500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Federal interoperability IR2/IR7; https://www.radioreference.com/db/aid/7742,,,,
64,FDIPIR3,170.687500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Federal interoperability IR3/IR8; https://www.radioreference.com/db/aid/7742,,,,
65,FDSRINCD,410.837500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,"Federal interoperability IR12, SAR incident command; https://www.radioreference.com/db/aid/7742",,,,
66,WHRSMDCL,463.000000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Washington state medical control WHEERS-1; https://www.radioreference.com/db/aid/2371,,,,
67,OLYNPARG,166.962500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,NPS Olympic NP air-to-ground; https://www.radioreference.com/db/aid/2373,,,,
68,DOIARGRN,167.075000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Department of the Interior air-to-ground Kilo; https://www.radioreference.com/db/aid/2373,,,,
69,USFSARR6,167.475000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,"USFS air-to-ground H, Region 6 common; https://www.radioreference.com/db/aid/2373",,,,
70,USFSLWEN,168.025000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,USFS law enforcement common; https://www.radioreference.com/db/aid/2373,,,,
71,OLYNPPRI,168.525000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,"NPS Olympic National Park primary repeater, carrier squelch; https://www.radioreference.com/db/aid/2373",,,,
72,USFSINCD,168.550000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,USFS incident command post; https://www.radioreference.com/db/aid/2373,,,,
73,USFSARGR,168.625000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,National USFS air guard; https://www.radioreference.com/db/aid/2373,,,,
74,ONFHDCNL,171.475000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Olympic National Forest Hood Canal Ranger District repeater; https://www.radioreference.com/db/aid/2373,,,,
75,ONFPCFCR,171.550000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Olympic National Forest Pacific Ranger District repeater; https://www.radioreference.com/db/aid/2373,,,,
76,DNRTAC1,151.310000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,WA DNR tactical 1; https://www.radioreference.com/db/aid/2372,,,,
77,DNRTAC2,151.340000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,WA DNR tactical 2; https://www.radioreference.com/db/aid/2372,,,,
78,DNRFLGHT,151.347500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,WA DNR aircraft flight following; https://www.radioreference.com/db/aid/2372,,,,
79,DNRCOM,151.415000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,WA DNR statewide common; https://www.radioreference.com/db/aid/2372,,,,
80,DNRHOH,159.202500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,"WA DNR Olympic Region Hoh repeater, call KJY894; https://www.radioreference.com/db/aid/2372",,,,
81,DNROZTT,159.255000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,"WA DNR Olympic Region Ozette repeater, call KCU803; https://www.radioreference.com/db/aid/2372",,,,
82,DNRAR1,159.270000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,"WA DNR air-to-ground 1, call KQP444; https://www.radioreference.com/db/aid/2372",,,,
83,DNRSTRTS,159.300000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,"WA DNR Olympic Region Straits repeater, call WNFD816; https://www.radioreference.com/db/aid/2372",,,,
84,DNRCANAL,159.345000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,WA DNR Olympic Region Canal repeater; https://www.radioreference.com/db/aid/2372,,,,
85,DNRNET,159.420000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,"WA DNR statewide net, call KE9669; https://www.radioreference.com/db/aid/2372",,,,
86,DNRQNLT,159.457500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,"WA DNR Olympic Region Quinault repeater, call KBB856; https://www.radioreference.com/db/aid/2372",,,,
87,JYCFRTC,154.445000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Clallam County Fire District 4 Joyce; https://www.radioreference.com/db/browse/ctid/2962,,,,
88,JYCFRDSP,155.722500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,"Clallam County Fire District 4 Joyce dispatch, call WQLB410; https://www.radioreference.com/db/browse/ctid/2962",,,,
89,SQMFRDSP,155.782500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,"Sequim fire dispatch, call WQCH837; https://www.radioreference.com/db/browse/ctid/2962",,,,
90,CLLLMFRD,155.820000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,"Clallam County Fire District 2 dispatch, call WQME701; https://www.radioreference.com/db/browse/ctid/2962",,,,
91,CLLLMPBL,155.925000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,"Clallam County public works A, call KPN31; https://www.radioreference.com/db/browse/ctid/2962",,,,
92,CLLLMPB2,158.835000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,"Clallam County public works B, call KPN31; https://www.radioreference.com/db/browse/ctid/2962",,,,
93,CLLLMETC,453.275000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,"Clallam County east tactical, call KVN623; https://www.radioreference.com/db/browse/ctid/2962",,,,
94,CLLLMWDS,453.375000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,"Clallam County west dispatch: Sheriff, Forks PD, La Push PD, call WQGU670; https://www.radioreference.com/db/browse/ctid/2962",,,,
95,FRKSCTY,453.975000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,"City of Forks repeater, call WPFC946, input 458.975; tone not published in ULS; https://data.fcc.gov/download/pub/uls/complete/l_LMpriv.zip",,,,
96,PRTANGLS,460.100000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,"Port Angeles Police dispatch, call KNBW381; https://www.radioreference.com/db/browse/ctid/2962",,,,
97,MKHTRBPD,155.070000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,"Makah Indian Nation Tribal Police, call KKC738, Bahokus Peak, input 159.210; tone not published in ULS; https://data.fcc.gov/download/pub/uls/complete/l_LMpriv.zip",,,,
98,MKHTRBCN,453.700000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,"Makah Tribal Council, call WSNH246, Bahokus Peak, input 458.700; tone not published in ULS; https://data.fcc.gov/download/pub/uls/complete/l_LMpriv.zip",,,,
99,QLTFR,460.212500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,"Quileute Tribal Council fire department, call WQOM838, Ellis Mountain, input 465.2125; tone not published in ULS; https://data.fcc.gov/download/pub/uls/complete/l_LMpriv.zip",,,,
100,MRN06SFT,156.300000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Intership safety; https://www.radioreference.com/db/aid/7748,,,,
101,MRN09CLL,156.450000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Boater calling; https://www.radioreference.com/db/aid/7748,,,,
102,MRN13BRD,156.650000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"Intership navigation safety, bridge to bridge; https://www.radioreference.com/db/aid/7748",,,,
103,MRN16DST,156.800000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"International hailing, calling and distress; https://www.radioreference.com/db/aid/7748",,,,
104,MRN21AUS,157.050000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,US Coast Guard working; https://www.radioreference.com/db/aid/7748,,,,
105,MRN22AUS,157.100000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,US Coast Guard liaison and maritime safety broadcasts; https://www.radioreference.com/db/aid/7748,,,,
106,MRN23AUS,157.150000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,US Coast Guard working; https://www.radioreference.com/db/aid/7748,,,,
107,MARINE68,156.425000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Non-commercial working; https://www.radioreference.com/db/aid/7748,,,,
108,MARINE69,156.475000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Non-commercial working; https://www.radioreference.com/db/aid/7748,,,,
109,MARINE71,156.575000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Non-commercial working; https://www.radioreference.com/db/aid/7748,,,,
110,MARINE72,156.625000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Non-commercial intership; https://www.radioreference.com/db/aid/7748,,,,
111,MRN83AUS,157.175000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,US Coast Guard only; https://www.radioreference.com/db/aid/7748,,,,
112,MRN88,157.425000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,Commercial intership bridge to bridge; https://www.radioreference.com/db/aid/7748,,,,
113,PRNC74,156.725000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"Vessel traffic sector covering the water off Cape Alava, west of 124-40W; https://www.navcen.uscg.gov/vessel-traffic-services-radio-procedures",,,,
114,STTL5A,156.250000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"Vessel traffic, Strait of Juan de Fuca east of 124-40W; https://www.navcen.uscg.gov/vessel-traffic-services-radio-procedures",,,,
115,STTL14,156.700000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"Vessel traffic, Puget Sound and Hood Canal; https://www.navcen.uscg.gov/vessel-traffic-services-radio-procedures",,,,
116,VCTR11,156.550000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"Vessel traffic, Haro Strait and southern Strait of Georgia; https://www.navcen.uscg.gov/vessel-traffic-services-radio-procedures",,,,
117,WHDBYAPP,118.200000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,"NAS Whidbey Island approach and departure, west; https://www.airnav.com/airport/KNUW",,,,
118,EDZHKAWS,118.325000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,Automated weather at Coast Guard Air Station Port Angeles KNOW; https://www.airnav.com/airport/KNOW,,,,
119,ZSSCTR01,120.300000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,Seattle Center sector 01; https://www.radioreference.com/db/aid/2235,,,,
120,GRD1215,121.500000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,International aeronautical emergency; https://www.airnav.com/airport/KNUW,,,,
121,STTLPARC,122.600000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,"Seattle Radio flight service, Port Angeles remote outlet; https://www.airnav.com/airport/KCLM",,,,
122,CTFQLLYT,122.900000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,"Common traffic advisory for KUIL, S18 and 11S; https://www.airnav.com/airport/KUIL",,,,
123,PRTANGL2,122.975000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,Fairchild International KCLM common traffic advisory and UNICOM; https://www.airnav.com/airport/KCLM,,,,
124,ZSSCTR03,125.100000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,"Seattle Center sector 03, Neah Bay RCAG, the sector over Lake Ozette; https://www.radioreference.com/db/aid/2235",,,,
